Test_ID,Predicted_Reference_Parameter,Predicted_Validity
TST-0221,26.083360999999986,Valid
TST-0099,17.416177999999995,Valid
TST-0062,17.373744,Valid
TST-0095,26.61903600000001,Valid
TST-0126,17.030245,Valid
TST-0034,50.04177600000003,Valid
TST-0103,15.991331000000008,Valid
TST-0245,23.018718999999997,Valid
TST-0058,50.92274499999999,Valid
TST-0065,26.24403900000001,Valid
TST-0086,19.55729700000001,Valid
TST-0342,20.545080000000006,Valid
TST-0335,17.634117999999997,Valid
TST-0180,18.133599,Invalid
TST-0294,24.021003999999984,Invalid
TST-0072,20.77499800000001,Valid
TST-0315,47.25726300000006,Valid
TST-0182,45.89543900000002,Valid
TST-0200,21.131078999999986,Valid
TST-0030,17.779254,Valid
TST-0193,16.903378000000007,Valid
TST-0231,21.153644999999994,Valid
TST-0128,25.573953000000003,Valid
TST-0165,28.15950799999999,Valid
TST-0074,13.616684,Valid
TST-0004,33.423947000000005,Valid
TST-0157,23.49217,Valid
TST-0143,27.620159999999995,Valid
TST-0179,42.75981499999998,Valid
TST-0075,27.55707199999999,Valid
TST-0233,24.30863600000002,Valid
TST-0111,26.117504000000007,Valid
TST-0350,21.00546100000001,Valid
TST-0122,17.05546899999998,Valid
TST-0076,21.696992000000023,Valid
TST-0304,25.993191000000014,Valid
TST-0190,29.345680000000012,Valid
TST-0061,16.737158000000008,Valid
TST-0009,27.588440000000002,Valid
TST-0194,44.24812100000002,Valid
TST-0156,16.455181000000003,Invalid
TST-0088,31.895312,Valid
TST-0256,46.091390999999994,Valid
TST-0329,16.733526000000012,Valid
TST-0219,42.48423100000003,Valid
TST-0306,13.869228000000016,Valid
TST-0324,23.525485000000007,Valid
TST-0113,21.613076000000007,Valid
TST-0135,16.017989999999998,Valid
TST-0339,18.181566000000007,Valid
TST-0260,21.40601499999998,Valid
TST-0195,24.803687999999987,Valid
TST-0286,27.97927900000001,Valid
TST-0015,23.517452999999993,Valid
TST-0263,19.783735000000007,Valid
TST-0147,24.457637,Valid
TST-0002,24.082511000000004,Invalid
TST-0114,45.736966999999986,Valid
TST-0271,28.357110000000006,Invalid
TST-0223,21.577795999999992,Valid
TST-0344,16.436808000000006,Valid
TST-0183,32.015799000000015,Valid
TST-0327,32.605624,Valid
TST-0250,19.471270000000004,Invalid
TST-0185,38.709647000000025,Valid
TST-0242,21.370682000000006,Valid
TST-0158,13.716974999999982,Valid
TST-0078,45.33150599999997,Valid
TST-0120,21.274269000000004,Invalid
TST-0093,29.23927,Valid
TST-0051,16.041034000000003,Valid
TST-0010,16.209185000000005,Valid
TST-0013,51.362492999999986,Valid
TST-0049,14.950183999999997,Valid
TST-0041,18.062241999999998,Valid
TST-0055,31.703110000000034,Valid
TST-0012,20.567606999999988,Valid
TST-0127,48.906230000000015,Valid
TST-0225,27.036117000000008,Valid
TST-0050,23.28055700000004,Valid
TST-0172,36.37349900000002,Valid
TST-0079,33.074243,Valid
TST-0046,22.271634000000013,Valid
TST-0325,18.361277000000022,Valid
TST-0280,20.339226999999998,Valid
TST-0140,15.321789999999991,Valid
TST-0244,47.25726300000006,Valid
TST-0203,21.07377399999999,Valid
TST-0238,18.612939000000004,Valid
TST-0092,28.032026999999985,Valid
TST-0307,13.829006999999999,Valid
TST-0176,30.450916000000035,Valid
TST-0115,17.565408999999992,Invalid
TST-0028,19.382116999999994,Invalid
TST-0317,19.738330999999985,Valid
TST-0251,38.73033600000001,Valid
TST-0301,15.081623999999993,Valid
TST-0116,37.16201,Valid
TST-0056,23.71866500000001,Valid
TST-0166,26.76658400000001,Valid
TST-0247,31.969341999999987,Valid
TST-0291,27.239024000000015,Valid
TST-0167,30.27472300000001,Invalid
TST-0313,48.696115,Valid
TST-0105,13.841875999999996,Valid
TST-0104,20.816057999999998,Valid
TST-0045,35.679475000000004,Valid
TST-0289,44.40800299999999,Valid
TST-0048,26.945213999999996,Valid
TST-0110,18.501701999999998,Valid
TST-0037,42.96403799999998,Invalid
TST-0305,18.432812000000002,Valid
TST-0240,32.35857999999998,Valid
TST-0155,33.838981000000004,Valid
TST-0119,52.52940799999998,Valid
TST-0295,23.58572699999999,Valid
TST-0229,18.641144,Valid
TST-0106,21.071658000000006,Valid
TST-0052,15.585672999999991,Valid
TST-0276,22.235095000000005,Invalid
TST-0216,21.63842199999999,Valid
TST-0208,20.221030999999993,Valid
TST-0188,21.738748,Valid
TST-0145,48.74014500000001,Valid
TST-0039,21.675354000000002,Valid
TST-0173,18.992708999999998,Valid
TST-0082,20.049910999999987,Valid
TST-0296,36.93678399999998,Valid
TST-0297,36.81281600000003,Valid
TST-0125,17.50505499999999,Valid
TST-0199,22.615886000000003,Invalid
TST-0330,21.615676999999994,Valid
TST-0133,35.59214500000002,Valid
TST-0175,31.31544400000002,Valid
TST-0270,45.963168,Valid
TST-0255,18.950482000000015,Valid
TST-0025,13.538766999999998,Valid
TST-0073,13.859046000000005,Valid
TST-0077,20.844843,Valid
TST-0293,14.701971999999998,Valid
TST-0212,34.24713,Invalid
TST-0081,14.120556999999994,Valid
TST-0328,19.753671000000004,Valid
TST-0290,48.38171400000004,Invalid
TST-0337,19.663627000000005,Valid
TST-0171,22.949119999999994,Valid
TST-0057,29.610899000000018,Valid
TST-0284,19.462887999999985,Valid
TST-0063,23.770623999999998,Invalid
TST-0022,19.162739000000002,Valid
TST-0044,19.580512000000017,Valid
TST-0035,23.96637500000002,Valid
TST-0258,43.78143099999998,Invalid
TST-0334,26.56742999999998,Valid
TST-0018,26.158915999999998,Valid
TST-0321,21.365410999999998,Valid
TST-0282,14.742808000000016,Valid
TST-0142,45.94300900000002,Invalid
TST-0312,24.187051999999966,Valid
TST-0101,21.830426,Valid
TST-0134,18.189490999999997,Invalid
TST-0287,32.356815000000005,Valid
TST-0153,33.365089,Valid
TST-0299,30.967605999999996,Valid
TST-0204,23.110690999999992,Valid
TST-0090,19.758965000000018,Valid
TST-0186,33.31208700000001,Valid
TST-0209,48.37001400000001,Valid
TST-0130,21.882939000000007,Valid
TST-0224,22.711847000000017,Valid
TST-0302,27.282772000000005,Valid
TST-0118,15.344478000000011,Valid
TST-0292,20.358438000000007,Valid
TST-0345,21.82821699999998,Valid
TST-0108,20.860050000000022,Valid
TST-0071,15.348887000000012,Valid
TST-0053,16.134558000000013,Valid
TST-0273,17.158853999999998,Valid
TST-0300,15.31205399999999,Valid
TST-0148,19.636664000000007,Valid
TST-0347,39.301002999999994,Valid
TST-0146,28.15950799999999,Valid
TST-0241,18.709397000000006,Valid
TST-0096,16.7633,Valid
TST-0220,22.903194999999993,Valid
TST-0174,23.213822000000018,Valid
TST-0246,14.735218000000001,Valid
TST-0136,18.68747300000001,Valid
TST-0109,21.768152000000004,Valid
TST-0040,37.28171300000001,Valid
TST-0043,20.27111000000001,Invalid
TST-0181,36.910988999999994,Valid
TST-0268,17.399931000000002,Valid
TST-0253,16.155995999999995,Valid
TST-0017,25.716258000000007,Valid
TST-0201,22.852647999999995,Valid
TST-0129,16.814299999999996,Valid
TST-0068,46.73192399999999,Valid
TST-0161,14.940002000000007,Valid
TST-0298,20.876488,Invalid
TST-0094,43.04078899999999,Valid
TST-0336,27.857298000000004,Invalid
TST-0149,20.193916,Valid
TST-0191,48.64090300000001,Valid
TST-0032,19.012765000000012,Valid
TST-0054,17.528520000000018,Valid
TST-0349,52.70267699999999,Valid
TST-0100,17.838264999999993,Valid
TST-0162,19.866033,Valid
TST-0326,23.241244000000002,Invalid
TST-0340,19.379291000000006,Valid
TST-0319,28.892989000000004,Valid
TST-0064,19.004872000000002,Valid
TST-0259,28.480567000000033,Valid
TST-0066,44.37718399999997,Valid
TST-0123,47.734080000000006,Valid
TST-0218,20.54283799999999,Valid
TST-0261,22.834851,Valid
TST-0196,20.850168999999987,Valid
TST-0281,25.40699300000001,Invalid
TST-0303,37.735824,Valid
TST-0254,22.69084,Valid
TST-0322,18.859570999999995,Valid
TST-0139,17.41804500000001,Valid
TST-0257,37.51059999999996,Valid
TST-0033,16.775998000000005,Valid
TST-0112,49.65021600000001,Valid
TST-0021,27.270591000000017,Valid
TST-0083,18.540527000000008,Valid
TST-0150,24.177794000000016,Valid
TST-0265,23.310637999999997,Valid
TST-0227,33.86460000000002,Valid
TST-0170,24.63382200000002,Valid
TST-0318,26.813967000000016,Valid
TST-0097,16.38152099999999,Valid
TST-0152,34.859311999999996,Valid
TST-0084,55.11541899999998,Valid
TST-0124,17.589481,Valid
TST-0098,32.968644999999995,Valid
TST-0341,30.929291000000013,Valid
TST-0042,31.201590000000024,Valid
TST-0189,19.595429,Valid
TST-0285,22.700967999999992,Valid
TST-0020,21.785681000000007,Valid
TST-0314,41.300905000000014,Valid
